OSD.flyTime [s],HOME.distance [ft],OSD.height [ft],OSD.longitude,OSD.latitude,OSD.altitude [ft]
916.9,17037.2,916.3,74.7454249891286,26.4311831705451,3160
917.1,17027.5,916.3,74.7453988754469,26.4311966153815,3160
917.3,17017.6,916.3,74.7453721151687,26.431210450559,3160
917.5,17008.2,916.3,74.7453466921697,26.4312235960609,3160
917.7,16998.6,916.3,74.745320632371,26.4312371494472,3160
917.9,16989.0,916.3,74.7452947489169,26.4312507127018,3160
918.1,16979.4,916.3,74.7452688801581,26.4312642627987,3160
918.5,16960.2,916.3,74.7452170838591,26.4312913925971,3160
918.7,16950.6,916.0,74.7451911759127,26.4313048988355,3160
918.9,16941.0,916.0,74.7451652483724,26.4313183699871,3160
919.1,16931.4,916.0,74.7451392571522,26.4313318718396,3160
919.3,16921.8,916.0,74.7451130993844,26.4313454022002,3160
919.5,16912.1,916.3,74.7450870787734,26.4313589665512,3160
919.7,16902.2,916.3,74.7450604262613,26.4313729793558,3160
919.9,16892.8,916.3,74.7450349493792,26.4313863671761,3160
920.1,16882.9,916.6,74.745008189101,26.4314004720836,3161
920.3,16873.5,916.6,74.744982873868,26.4314138544217,3161
920.5,16863.9,916.6,74.7449569414293,26.4314275317084,3161
920.7,16854.2,916.3,74.7449308669353,26.4314411859694,3160
920.9,16844.3,916.3,74.744903998891,26.4314551428543,3160
921.1,16834.8,916.3,74.7448783064767,26.4314683497582,3160
921.3,16825.1,916.3,74.7448520997244,26.4314818516107,3160
921.7,16805.6,916.3,74.7447991424907,26.431509104213,3160
921.9,16795.9,916.0,74.7447731022859,26.4315226608888,3160
922.1,16786.2,916.0,74.7447469396196,26.4315362493619,3160
922.3,16776.8,916.0,74.7447214235499,26.431549511089,3160
922.5,16766.9,916.0,74.7446946191855,26.4315635184112,3160
922.7,16757.5,916.0,74.7446691423035,26.4315768119357,3160
922.9,16747.6,916.0,74.7446424408068,26.4315907688206,3160
923.1,16738.0,916.0,74.7446164593835,26.4316043682584,3160
923.3,16728.6,916.0,74.7445911686428,26.4316176420466,3160
923.5,16719.0,916.0,74.7445652019149,26.4316313050793,3160
923.7,16709.1,916.0,74.744538573895,26.4316452849899,3160
923.9,16699.7,916.0,74.7445132635605,26.4316585236912,3160
924.1,16690.1,916.0,74.7444871498789,26.4316720869457,3160
924.3,16680.4,916.0,74.7444608990403,26.4316856852871,3160
924.5,16670.7,916.0,74.7444347314756,26.4316993220047,3160
924.7,16660.8,916.0,74.7444079075175,26.431713279986,3160
924.9,16651.2,916.0,74.7443818624142,26.4317268574946,3160
925.1,16641.7,916.0,74.7443563708367,26.4317400676878,3160
925.3,16632.1,916.0,74.7443302620535,26.4317535794085,3160
925.7,16612.8,916.0,74.7442781669485,26.4317807881523,3160
925.9,16603.1,916.0,74.7442520189776,26.4317943810114,3160
